학교명,급식일자,급식인원수,칼로리정보,탄수화물(g),단백질(g),지방(g),비타민A(R.E),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg),menu_list
가경초등학교,20250423,340,711.0,90.4,41.2,19.3,142.9,0.3,0.6,6.0,295.1,3.6,"['자율흰쌀밥', '잔치국수', '크크 바삭치킨', '배추김치', '저지방우유', '유산균 요구르트']"
가경초등학교,20250424,340,571.6,75.3,32.8,14.8,230.1,0.7,0.5,9.3,251.8,2.4,"['친환경 홍미밥', '북어감자국', '두부쑥갓무침', '돈육고추장불고기', '깍두기', '일반우유', '수박']"
가경초등학교,20250425,340,557.2,74.0,25.2,17.4,117.7,0.3,0.5,40.4,205.8,3.3,"['친환경 발아현미밥', '한우쇠고기무국', '시금치프리타타', '도토리묵무침', '배추김치', '발효유', '파인애플']"
가경초등학교,20250428,340,589.4,96.3,29.0,8.5,99.8,0.4,0.4,33.0,255.7,1.5,"['친환경 기장밥', '삼색수제비국', '실곤약야채무침', '삼치구이', '배추김치', '오렌지', '일반우유']"
가경초등학교,20250429,340,554.1,72.8,35.7,12.5,268.8,0.5,0.5,16.6,695.8,4.2,"['친환경 찹쌀밥', '콩가루배추된장국', '닭데리소스조림', '마늘쫑건새우볶음', '깍두기', '강화우유', '열대과일샐러드']"
가경초등학교,20250430,340,641.8,90.1,20.6,21.6,90.2,0.4,0.4,20.0,279.9,1.8,"['햄김치볶음밥', '맑은콩나물국', '텐더 샐러드', '저지방우유', '감자콕콕 모짜핫도그/케첩', '단무지']"
가경초등학교,20250502,339,626.9,84.9,29.8,17.7,52.9,0.6,0.4,6.4,157.5,2.2,"['친환경 발아현미밥', '미역국', '청경채 장육', '사각어묵볶음', '배추김치', '발효유', '미니글레이즈드_가람']"
가경초등학교,20250507,339,790.3,97.5,25.4,33.2,99.4,0.6,0.4,17.7,270.0,3.1,"['카레라이스', '매콤콩나물국', '미니돈까스/소스', '배추김치', '저지방우유', '블루베리 주스']"
가경초등학교,20250508,339,796.9,95.5,40.2,25.9,132.4,0.5,0.7,9.3,265.0,10.1,"['친환경 발아흑미밥', '설렁탕', '해물볶음우동', '숯불 닭꼬치', '구운 김', '깍두기', '일반우유']"
가경초등학교,20250509,339,701.6,93.6,30.8,21.4,110.4,0.8,0.5,8.4,164.3,2.9,"['친환경 홍미밥', '계란실파국', '돼지갈비바베큐', '참나물무침', '배추김치', '발효유', '배']"
가경초등학교,20250512,339,724.5,91.3,34.8,23.2,154.9,0.7,0.6,21.1,348.7,4.3,"['친환경 현미찹쌀밥', '닭곰탕', '비빔만두', '멸치찹쌀콩볶음', '깍두기', '파인애플', '일반우유']"
가경초등학교,20250513,339,635.2,89.7,39.9,12.1,353.2,1.0,0.7,29.5,438.4,6.0,"['친환경 차수수밥', '조갯살시금치국', '돈육떡장조림', '진미채볶음', '배추김치', '고칼슘우유', '참외']"
가경초등학교,20250514,340,614.7,85.5,32.2,16.5,164.6,0.4,0.6,7.9,278.3,3.3,"['비빔밥/약고추장', '팽이버섯장국', '닭날개구이', '깍두기', '저지방우유', '포도주스']"
가경초등학교,20250515,339,715.1,91.0,34.6,22.7,130.4,0.3,0.8,5.9,316.0,3.2,"['친환경 귀리밥', '청포묵무침', '고등어구이', '열무김치', '스승의날 케이크', '일반우유', '참치김치찌개']"
가경초등학교,20250516,340,504.7,81.0,23.7,8.9,126.8,0.5,0.5,3.8,165.8,3.3,"['친환경 발아현미밥', '부산돼지국밥', '새송이메추리알장조림', '꼬들오이&무채장아찌', '배추김치', '발효유', '사과', '다진 양념']"
가경초등학교,20250519,339,686.5,97.8,34.6,16.6,220.1,0.7,0.7,19.0,335.3,2.8,"['친환경 찹쌀밥', '들깨수제비국', '제육볶음', '배추김치', '쌈장', '유기농 떠먹는 그릭요거트', '일반우유', '스틱채소', '야채쌈']"
가경초등학교,20250520,339,501.0,70.2,24.3,13.5,256.1,0.5,0.5,9.2,443.0,2.9,"['친환경 흑미밥', '콩가루배추된장국', '청태볶음', '허브치킨플레로티', '열무김치', '고칼슘우유', '크림슨 포도']"
가경초등학교,20250521,339,672.0,87.6,37.7,18.5,185.4,0.4,0.6,16.5,357.5,3.5,"['김밥볶음밥', '유부장국', '알새우칩', '뿌링뿌링 치킨', '배추김치', '저지방우유', '아이스 망고']"
